"ord","fam","spp","mass.fem","gest.mo","lac.mo","mass.litter","repro.output","dev.birth","diet","arid","biome","fat","gest.month","lacat.mo"
"Artiodactyla","Bovidae","Bos frontalis",8e+05,9.02,4.5,26949,0.03,3,"herbivore","no","terrestrial",7,9.02,4.5
"Artiodactyla","Bovidae","Capra ibex",53000,5.6,7.5,3489,0.07,3,"herbivore","no","terrestrial",12.4,5.6,7.5
"Artiodactyla","Bovidae","Connocheates taurinus taurinus",170500,8.32,8,17717,0.1,3,"herbivore","yes","terrestrial",7.5,8.32,8
"Artiodactyla","Bovidae","Connocheates gnou",2e+05,8.5,7.5,11110,0.06,3,"herbivore","yes","terrestrial",5.5,8.5,7.5
"Artiodactyla","Bovidae","Damaliscus pygargus phillipsi",61000,8,4,6500,0.11,3,"herbivore","yes","terrestrial",8.6,8,4
"Artiodactyla","Bovidae","Gazella dorcas",20600,4.74,2.8,1771,0.09,3,"herbivore","yes","terrestrial",8.8,4.74,2.8
"Artiodactyla","Bovidae","Hemitragus jemlahicus",60000,6,5,2060,0.03,3,"herbivore","no","terrestrial",7.9,6,5
"Artiodactyla","Bovidae","Hippotragus niger",181000,8.87,7,15447,0.09,3,"herbivore","yes","terrestrial",5,8.87,7
"Artiodactyla","Bovidae","Oreamnos americanus",70000,5.78,2.7,4193,0.06,3,"herbivore","no","terrestrial",7,5.78,2.7
"Artiodactyla","Bovidae","Ovibus moschatus",196000,8.48,6.2,11188,0.06,3,"herbivore","no","terrestrial",14.3,8.48,6.2
"Artiodactyla","Bovidae","Ovis dalli",48400,5.62,4.3,4130,0.09,3,"herbivore","no","terrestrial",9.5,5.62,4.3
"Artiodactyla","Bovidae","Syncerus caffer",534000,11.03,9.2,46292,0.09,3,"herbivore","no","terrestrial",13.4,11.03,9.2
"Artiodactyla","Bovidae","Taurotragus oryx",393500,8.64,6,28325,0.07,3,"herbivore","yes","terrestrial",9.9,8.64,6
"Artiodactyla","Camelidae","Camelus bactrianus",585000,13.18,10.5,35000,0.06,3,"herbivore","yes","terrestrial",4.3,13.18,10.5
"Artiodactyla","Cervidae","Alces alces",269000,7.95,3.8,16794,0.06,2,"herbivore","no","terrestrial",10,7.95,3.8
"Artiodactyla","Cervidae","Cervus canadensis nelsoni1",110000,8.38,5.5,6500,0.06,2,"herbivore","no","terrestrial",6.7,8.38,5.5
"Artiodactyla","Cervidae","Cervus elaphus",98733,8,12,15500,0.16,2,"herbivore","no","terrestrial",8.5,8,12
"Artiodactyla","Cervidae","Cervus elaphus hispanicus",120333,8.03,5.4,9432,0.08,2,"herbivore","no","terrestrial",12.6,8.03,5.4
"Artiodactyla","Cervidae","Odocoileus hemionus",43063,6.85,2.5,4783,0.11,3,"herbivore","no","terrestrial",5.5,6.85,2.5
"Artiodactyla","Cervidae","Odocoileus virginianus",50570,6.84,4.3,5394,0.11,3,"herbivore","no","terrestrial",7.7,6.84,4.3
"Artiodactyla","Cervidae","Rangifer tar&us",86033,7.24,2.8,6928,0.08,3,"herbivore","no","terrestrial",10.9,7.24,2.8
"Artiodactyla","Giraffidae","Giraffa camelopardalis",880000,14.89,8.3,66943,0.08,3,"herbivore","yes","terrestrial",4.8,14.89,8.3
"Artiodactyla","Tayassuidae","Pecari tajacu2",21675,4.66,1.7,1196,0.06,3,"omnivore","no","terrestrial",4.2,4.66,1.7
"Carnivora","Canidae","Nyctereutes procyonoides",5035,2.05,1.7,832,0.17,1,"omnivore","no","terrestrial",3.4,2.05,1.7
"Carnivora","Canidae","Vulpes lagopus3",3000,1.75,1.7,577,0.19,1,"carnivore","no","terrestrial",13.5,1.75,1.7
"Carnivora","Canidae","Vulpes vulpes",4244,1.73,1.8,439,0.1,1,"omnivore","no","terrestrial",5.8,1.73,1.8
"Carnivora","Felidae","Panthera leo",139500,3.62,7.2,3995,0.03,1,"carnivore","yes","terrestrial",8.7,3.62,7.2
"Carnivora","Mephitidae4","Mephitis mephitis",2110,1.63,2.1,143,0.07,0,"omnivore","no","terrestrial",13.8,1.63,2.1
"Carnivora","Mustelidae","Mustela putorius",720,1.05,1.6,71,0.1,0,"carnivore","no","terrestrial",9.7,1.05,1.6
"Carnivora","Mustelidae","Neovison vison5",770,1.05,1.6,41,0.05,0,"carnivore","no","aquatic",7.3,1.05,1.6
"Carnivora","Otariidae","Arctocephalus australis",60000,7.75,13.5,4250,0.07,2,"carnivore","no","aquatic",44.4,7.75,13.5
"Carnivora","Otariidae","Arctocephalus gazella",50000,9,3.9,5933,0.12,2,"carnivore","no","aquatic",24.4,9,3.9
"Carnivora","Otariidae","Arctocephalus tropicalis",41400,11.75,7.9,4420,0.11,2,"carnivore","no","aquatic",52.1,11.75,7.9
"Carnivora","Otariidae","Arctocephalus pusillus doriferus",76400,9.17,11.5,5956,0.08,2,"carnivore","no","aquatic",47.7,9.17,11.5
"Carnivora","Otariidae","Callorhinus ursinus",34500,8.37,3.2,5183,0.15,3,"carnivore","no","aquatic",50.7,8.37,3.2
"Carnivora","Otariidae","Neophoca cinerea",80000,11.75,18.8,7075,0.09,2,"carnivore","no","aquatic",25.4,11.75,18.8
"Carnivora","Otariidae","Zalophus californianus",75000,11.14,10.8,6817,0.09,3,"carnivore","no","aquatic",31.7,11.14,10.8
"Carnivora","Phocidae","Cystophora cristata",350000,8.01,0.3,15389,0.04,3,"carnivore","no","aquatic",61.1,8.01,0.3
"Carnivora","Phocidae","Halichoerus grypus",155000,7.87,0.6,12820,0.08,3,"carnivore","no","aquatic",59.8,7.87,0.6
"Carnivora","Phocidae","Leptonychotes weddellii",369500,9.6,1.3,28394,0.08,2,"carnivore","no","aquatic",53.6,9.6,1.3
"Carnivora","Phocidae","Mirounga angustirostris",363000,8.45,0.9,35250,0.1,2,"carnivore","no","aquatic",51.9,8.45,0.9
